ROW_ID,PROJ_ID,EVT_STAT_CD,X_SUB_STATUS
"1-Z1P5WH","1-341ILX","Reported","Done"
"1-Z1P5WQ","1-341ILX","Cancelled","Cancelled"
"1-Z1P5X3","1-341ILX","Reported","Done"
"1-Z57NN5","1-67Z5TO","Reported","Done"
"1-Z57NND","1-67Z5TO","Reported","Done"
"1-Z57NNL","1-67Z5TO","Reported","Done"
"1-Z57NNT","1-67Z5TO","Reported","Done"
"1-Z57NO1","1-67Z5TO","Cancelled","Cancelled"
"1-Z57NO9","1-67Z5TO","Cancelled","Cancelled"
"1-Z57NOH","1-67Z5TO","Reported","Done"
"1-Z5BMSB","1-40X6PM","Cancelled","Cancelled"
"1-Z5BMSI","1-40X6PM","Tentative","NA"
"1-Z71CAP","1-4ETO3W","Reported","Done"
"1-Z71CAY","1-4ETO3W","Reported","Done"
"1-Z71CB7","1-4ETO3W","Reported","Done"
"1-Z71CBG","1-4ETO3W","Reported","Done"
"1-Z8635C","1-4ETO3W","Reported","Done"
"1-Z86BRK","1-233RRG","Reported","Done"
"1-Z86BRX","1-233RRG","Reported","Done"
"1-Z8MWFF","1-9LQX8A","Reported","Done"
"1-Z9FPCH","1-HSRZ3T","Tentative","NA"
"1-Z9FPCO","1-HSRZ3T","Reported","Done"
"1-Z9FPCV","1-HSRZ3T","Reported","Done"
"1-Z9FPD3","1-HSRZ3T","Reported","Done"
"1-Z9INQL","1-I221V3","Reported","Done"
"1-Z9INQT","1-I221V3","Reported","Done"
"1-Z9LBV2","1-32SYEW","Reported","Done"
"1-ZA9RKU","1-3P0BP7","Reported","Done"
"1-ZAW2L3","1-3HYR71","Reported","Done"
"1-ZAW2L8","1-3HYR71","Reported","Done"
"1-ZAW2LD","1-3HYR71","Reported","Done"
"1-ZAW2LU","1-3HYR71","Reported","Done"
"1-ZAW2M2","1-3HYR71","Reported","Done"
"1-ZAW2MA","1-3HYR71","Reported","Done"
"1-ZBBXV5","1-32SYEW","Reported","Done"
"1-ZBC32O","1-2GAYKA","Reported","Done"
"1-ZBC32W","1-2GAYKA","Reported","Done"
"1-ZBC334","1-2GAYKA","Reported","Done"
"1-ZBC33I","1-2GAYKA","Certificate Authorized","Done"
"1-ZBEN9F","1-25WQKO","Reported","Done"
"1-ZBEN9M","1-25WQKO","Reported","Done"
"1-ZBEN9T","1-25WQKO","Reported","Done"
